sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_label
6.2,3.2,1.4,0.4,setosa
3.6,3.7,1.6,0.1,setosa
4.0,3.4,1.5,0.2,setosa
6.9,4.1,1.0,0.3,setosa
6.1,2.5,1.4,0.2,setosa
5.3,2.2,1.0,0.3,setosa
2.9,4.7,1.4,0.3,setosa
4.8,3.5,0.8,0.2,setosa
2.6,3.2,2.2,0.0,setosa
6.4,2.0,1.8,0.3,setosa
3.8,2.9,1.4,0.1,setosa
4.7,3.5,2.1,0.3,setosa
6.4,2.4,1.3,0.2,setosa
4.7,3.2,1.1,0.2,setosa
3.8,3.7,1.5,0.2,setosa
4.3,3.2,2.1,0.4,setosa
3.2,3.2,1.2,0.2,setosa
6.6,2.7,1.1,0.1,setosa
6.3,4.7,1.2,0.2,setosa
6.1,4.0,1.6,0.3,setosa
7.0,3.5,1.5,0.2,setosa
3.8,2.8,1.5,0.4,setosa
6.4,3.4,1.1,0.2,setosa
4.7,3.6,1.6,0.3,setosa
7.0,2.0,1.9,0.2,setosa
5.2,4.6,2.0,0.2,setosa
5.4,3.7,1.6,0.4,setosa
6.1,1.8,0.9,0.1,setosa
4.8,1.9,1.9,0.3,setosa
6.4,1.8,1.1,0.3,setosa
5.4,2.1,1.4,0.3,setosa
3.2,3.8,1.7,0.2,setosa
3.6,4.3,1.9,0.1,setosa
4.0,4.7,1.5,0.2,setosa
4.9,1.9,1.1,0.1,setosa
3.7,1.8,1.3,0.4,setosa
6.1,3.5,1.5,0.2,setosa
7.5,2.9,1.6,0.3,setosa
4.9,3.3,0.7,0.3,setosa
3.6,3.1,0.9,0.3,setosa
3.2,4.9,1.0,0.4,setosa
5.4,3.8,2.0,0.4,setosa
5.9,3.9,1.7,0.1,setosa
5.0,5.1,2.0,0.2,setosa
2.9,4.3,1.1,0.1,setosa
7.3,5.1,1.7,0.2,setosa
4.3,2.9,0.8,0.2,setosa
3.9,3.1,1.7,0.2,setosa
3.3,4.0,1.5,0.4,setosa
2.9,4.7,1.3,0.3,setosa
5.5,3.4,4.5,1.3,versicolor
4.7,1.7,4.1,0.9,versicolor
5.1,3.3,3.1,1.7,versicolor
4.6,2.7,4.9,0.7,versicolor
7.4,2.9,4.1,1.0,versicolor
4.8,2.4,2.2,0.7,versicolor
5.7,3.0,5.3,1.0,versicolor
6.8,3.3,2.3,1.1,versicolor
5.4,3.0,4.2,1.5,versicolor
6.5,3.3,6.2,1.0,versicolor
4.6,3.5,5.4,1.3,versicolor
3.2,2.0,3.3,1.2,versicolor
5.0,2.7,5.4,1.3,versicolor
7.3,3.3,5.3,1.2,versicolor
6.1,3.5,3.8,2.0,versicolor
8.4,3.2,6.2,1.4,versicolor
3.8,3.1,3.2,1.2,versicolor
4.7,2.1,6.1,1.6,versicolor
6.2,3.2,3.0,1.8,versicolor
6.0,3.4,3.9,1.2,versicolor
5.6,3.8,4.5,1.5,versicolor
4.5,3.0,4.6,1.8,versicolor
8.7,1.4,2.7,1.6,versicolor
5.7,1.9,4.7,1.3,versicolor
6.1,3.3,3.8,0.8,versicolor
6.5,3.2,2.4,1.0,versicolor
4.5,2.5,4.6,1.7,versicolor
3.5,3.8,6.2,1.1,versicolor
6.3,3.0,2.8,1.3,versicolor
3.0,2.6,3.7,1.3,versicolor
8.2,3.0,3.3,1.6,versicolor
8.7,3.5,3.1,0.7,versicolor
6.6,3.2,4.4,0.8,versicolor
6.0,3.9,4.7,1.6,versicolor
6.2,2.0,2.9,1.5,versicolor
5.3,1.8,5.1,0.7,versicolor
6.3,3.0,4.9,1.3,versicolor
6.3,2.8,3.7,0.8,versicolor
6.1,2.3,5.6,1.5,versicolor
7.1,4.1,5.8,1.7,versicolor
6.6,2.7,4.6,1.3,versicolor
8.2,3.2,2.5,1.4,versicolor
3.6,3.7,3.3,1.3,versicolor
7.5,3.0,3.5,0.7,versicolor
8.3,2.9,4.8,1.4,versicolor
4.7,2.9,4.0,1.0,versicolor
6.8,3.0,4.6,0.8,versicolor
5.3,3.5,5.8,1.7,versicolor
3.9,3.7,3.3,1.1,versicolor
6.4,4.1,6.4,1.6,versicolor
6.8,3.1,6.6,2.6,virginica
7.8,3.1,6.7,1.2,virginica
6.2,1.7,6.8,2.6,virginica
3.9,2.4,4.3,1.4,virginica
6.2,3.7,4.2,1.7,virginica
7.2,3.7,6.4,1.9,virginica
4.6,4.0,4.0,2.5,virginica
9.0,3.2,6.0,2.8,virginica
6.3,2.8,3.9,1.8,virginica
7.0,3.0,3.0,2.8,virginica
8.6,4.5,4.7,1.0,virginica
6.4,2.3,7.1,2.6,virginica
5.7,1.6,6.0,2.0,virginica
3.6,1.9,7.3,1.5,virginica
6.7,3.5,6.6,2.6,virginica
8.3,3.4,4.6,1.9,virginica
9.3,2.3,2.8,2.3,virginica
5.0,4.0,6.2,2.7,virginica
9.4,2.5,4.6,1.2,virginica
6.8,3.7,6.7,1.5,virginica
6.2,3.0,5.9,1.9,virginica
4.6,2.5,8.0,1.6,virginica
6.9,1.9,4.9,1.1,virginica
6.5,3.6,5.6,1.1,virginica
6.3,4.4,4.8,1.2,virginica
7.3,3.0,4.8,1.5,virginica
3.9,2.1,5.5,1.5,virginica
9.1,2.7,4.5,2.7,virginica
8.1,2.8,7.6,1.9,virginica
6.2,3.1,6.7,1.5,virginica
9.5,2.2,4.6,1.8,virginica
6.5,2.2,3.0,1.6,virginica
8.2,3.0,6.0,2.4,virginica
7.9,2.8,5.6,1.9,virginica
9.7,3.0,5.7,1.1,virginica
6.9,4.2,6.8,2.2,virginica
4.0,1.7,5.6,1.5,virginica
6.2,3.4,2.9,2.2,virginica
3.6,3.2,4.2,2.0,virginica
5.2,4.2,7.2,2.1,virginica
6.5,2.8,5.8,1.9,virginica
9.6,2.3,8.0,2.1,virginica
8.1,3.0,5.2,1.5,virginica
6.4,1.7,6.8,1.9,virginica
3.8,2.0,2.8,1.9,virginica
6.1,2.3,5.1,1.9,virginica
4.4,1.7,3.4,1.3,virginica
7.8,2.3,4.4,1.8,virginica
5.3,3.5,4.9,1.5,virginica
6.4,2.8,2.8,2.7,virginica
